transaction_id,seller_id,buyer_id,transaction_amount,item_category,transaction_date,seller_feedback_score,seller_account_age_days,num_transactions_last_7d,num_transactions_last_30d,dispute_rate,return_rate,num_policy_violations,buyer_feedback_given,login_hour,unique_items_listed,avg_item_price,is_fraud
TXN006253,S03594,B08065,71.5,Books,2024-05-01 05:25:00,98,2623,5,24,0.0753,0.1881,0,1,8,22,57.69,0
TXN004685,S02502,B03916,43.03,Books,2024-06-14 04:11:00,83,3593,9,3,0.1276,0.0369,0,1,9,22,70.23,0
TXN001732,S02287,B05354,347.23,Clothing,2024-02-19 15:08:00,83,287,6,8,0.0495,0.0988,0,1,22,13,100.08,0
TXN004743,S03043,B03653,13.56,Electronics,2024-07-09 20:27:00,92,2788,7,18,0.0717,0.0134,0,1,8,32,11.12,0
TXN004522,S04629,B07794,42.76,Toys,2024-07-23 16:46:00,82,2290,5,10,0.0202,0.0373,0,1,13,33,60.18,0
TXN006341,S01945,B04306,147.0,Electronics,2024-11-25 03:36:00,83,2090,6,20,0.0226,0.0023,0,1,16,4,35.57,0
TXN000577,S04051,B08127,9.76,Electronics,2024-07-10 04:43:00,92,1045,2,35,0.0088,0.0075,0,1,22,22,66.02,0
TXN005203,S02196,B04961,28.06,Books,2024-09-18 23:44:00,83,844,8,18,0.0177,0.133,0,1,13,24,79.58,0
TXN006364,S02348,B07507,32.75,Electronics,2024-03-29 15:54:00,99,3163,9,32,0.0605,0.0555,0,1,9,13,44.58,0
TXN000440,S03085,B01437,111.97,Toys,2024-10-29 10:55:00,96,3615,7,19,0.0838,0.1168,0,1,21,49,7.93,0
TXN002751,S02925,B02781,73.45,Clothing,2024-06-27 19:36:00,87,2238,8,6,0.0611,0.0091,0,0,13,28,127.12,0
TXN007488,S02262,B02780,42.67,Clothing,2024-01-04 10:55:00,90,2499,1,27,0.0413,0.1145,0,0,7,38,34.81,0
TXN005273,S03512,B03963,8.67,Collectibles,2024-03-06 16:19:00,99,2058,9,6,0.0211,0.026,0,1,7,8,32.56,0
TXN005654,S04906,B04012,67.13,Electronics,2024-02-04 11:40:00,93,2698,2,39,0.0073,0.0383,1,1,22,2,56.76,0
TXN004000,S02633,B08137,200.83,Collectibles,2024-02-12 09:53:00,85,3547,5,19,0.0086,0.0056,0,0,19,21,38.58,0
TXN006034,S01082,B02388,122.93,Home,2024-02-04 08:35:00,89,396,1,10,0.0315,0.0284,0,0,18,5,37.56,0
TXN000583,S01876,B07961,86.99,Clothing,2024-10-14 10:42:00,92,3340,9,17,0.0197,0.03,0,1,13,21,65.98,0
TXN009931,S05730,B09169,222.85,Books,2024-08-22 18:23:00,7,2,42,178,0.4109,0.6096,4,0,22,401,607.49,1
TXN007052,S01719,B05846,77.25,Clothing,2024-12-06 11:30:00,89,1208,2,32,0.1321,0.1184,0,1,9,47,33.68,0
TXN008159,S03575,B08732,24.43,Clothing,2024-03-17 22:55:00,85,1273,2,32,0.0582,0.0125,0,1,22,28,40.71,0
TXN009897,S05073,B09183,243.57,Electronics,2024-08-15 22:19:00,0,62,65,82,0.5584,0.365,4,0,1,184,55.18,1
TXN002250,S02193,B08926,32.33,Sports,2024-05-08 17:54:00,86,939,4,32,0.0749,0.0327,0,1,12,37,27.0,0
TXN004641,S04259,B04414,42.06,Clothing,2024-07-12 12:01:00,85,3038,6,37,0.0848,0.0036,1,0,15,48,118.98,0
TXN009486,S05323,B09807,534.97,Sports,2024-10-25 01:09:00,39,83,69,193,0.526,0.5074,1,0,2,445,125.99,1
TXN004948,S04363,B03850,30.61,Toys,2024-02-17 11:45:00,96,2771,2,7,0.0529,0.0107,0,1,20,13,185.74,0
TXN009921,S05377,B09009,611.38,Electronics,2024-01-09 17:57:00,24,44,52,51,0.3099,0.5344,0,0,3,254,61.51,1
